net_ef,net_ef_conf,success,success_conf,fail_no_path,fail_no_path_conf,fail_no_balance,fail_no_balance_conf,time,time_conf,attempts,attempts_conf,rout_length,rout_length_conf
0.5715645861321738,0.03910618483290931,0.9896841636,0.0,0.0059756139,0.0,0.0043402225,0.0,631.0515879743,0.0,1.0068600375,0.0,3.1636672680,0.0
0.5639011706965759,0.040171658909222,0.9644050157,0.0,0.0312547618,0.0,0.0043402225,0.0,633.2972480547,0.0,1.0050906844,0.0,3.1760019206,0.0
0.5340803366616811,0.040180172349140765,0.9363925478,0.0,0.0598750146,0.0,0.0037324377,0.0,634.6302603653,0.0,1.0038810189,0.0,3.1834180782,0.0
0.519266119084627,0.04047761040274401,0.9059692935,0.0,0.0905147191,0.0,0.0035159875,0.0,635.7525256484,0.0,1.0040958923,0.0,3.1896292190,0.0
0.502294161211525,0.04091720178156839,0.8763082598,0.0,0.1201757527,0.0,0.0035159875,0.0,638.5782722413,0.0,1.0048963706,0.0,3.2016383724,0.0
0.4434997899215367,0.03965331750915435,0.8484851423,0.0,0.1478027918,0.0,0.0037120659,0.0,641.6849230551,0.0,1.0048658940,0.0,3.2181051272,0.0
0.45817446296855024,0.04059481437192731,0.8141424810,0.0,0.1819155680,0.0,0.0039419509,0.0,643.1755769592,0.0,1.0037654656,0.0,3.2267594833,0.0
0.4358140185898094,0.04039648517740955,0.7809453175,0.0,0.2155119475,0.0,0.0035427350,0.0,645.0740799732,0.0,1.0054947719,0.0,3.2345517896,0.0
0.434681091753797,0.040416730107905405,0.7495599375,0.0,0.2473639683,0.0,0.0030760942,0.0,647.2560199422,0.0,1.0052302877,0.0,3.2462181398,0.0
0.4074785262333196,0.040441401625693686,0.7224380172,0.0,0.2744858885,0.0,0.0030760942,0.0,650.0252676521,0.0,1.0045608173,0.0,3.2599587653,0.0
